"Order ID",Category,Amount,ship-city,Status
403-5977671-8855508,Set,1115,"COOCH BEHAR","Shipped - Returned to Seller"
408-5020509-5674715,"Western Dress",0,"NEW DELHI","Shipped - Returned to Seller"
407-7607527-1189964,kurta,568,RAMANAGARA,"Shipped - Rejected by Buyer"
408-0266080-9401113,Top,599,GURUGRAM,"Shipped - Returned to Seller"
408-0902233-8069950,kurta,0,BENGALURU,"Shipped - Returned to Seller"
406-8536478-4581952,Top,518,"KOTPAD, Koraput","Shipped - Returned to Seller"
402-6638943-7023558,Set,613,"NEW DELHI","Shipped - Returned to Seller"
406-5601546-3935561,"Western Dress",699,HYDERABAD,"Shipped - Returned to Seller"
408-6125977-4183535,Top,423,PATNA,"Shipped - Returned to Seller"
408-1323988-1333949,Set,0,KANCHIPURAM,"Shipped - Returned to Seller"
408-2507164-5337918,kurta,499,EGRA,"Shipped - Returned to Seller"
171-2002315-6616312,Blouse,625,DALTONGANJ,"Shipped - Returned to Seller"
408-9008620-6061118,Set,0,THANE,"Shipped - Returned to Seller"
407-4787404-6815549,"Western Dress",791,CHENNAI,"Shipped - Returned to Seller"
408-8747074-3173921,Top,0,MUMBAI,"Shipped - Returned to Seller"
405-7829062-0073141,kurta,1128,PALAM,"Shipped - Returned to Seller"
171-4502176-0991515,"Western Dress",744,NELLORE,"Shipped - Returned to Seller"
406-2887147-6410739,Blouse,518,GUWAHATI,"Shipped - Returned to Seller"
405-4580146-5622759,"Western Dress",725,PATNA,"Shipped - Returned to Seller"
402-7765194-7677124,Set,474,TINSUKIA,"Shipped - Returned to Seller"
171-6513341-1148308,"Western Dress",744,NAMAKKAL,"Shipped - Returned to Seller"
408-5261111-7951542,kurta,363,PATHANAMTHITTA,"Shipped - Returned to Seller"
405-1536760-2101952,kurta,487,Kamtaul,"Shipped - Returned to Seller"
408-4225652-6758727,Set,1115,"OBRA sonebhadra","Shipped - Returned to Seller"
402-0430597-5231502,Set,788,BENGALURU,"Shipped - Returned to Seller"
404-6041390-2405907,Set,1173,RANCHI,"Shipped - Returned to Seller"
402-1142198-6127552,Top,359,AGARTALA,"Shipped - Returned to Seller"
407-9007522-6181931,Set,771,GURUGRAM,"Shipped - Returned to Seller"
